id,title,price,rel_date
880,At the Gates,699,
474,RollerCoaster Tycoon World,499,2016-03-30
3677,Homeworld: Deserts of Kharak,,2016-01-21
746,Starcraft II: Legacy of the Void,0,2015-11-10
1509,Divinity: Original Sin - Enhanced Edition,,2015-10-27
1389,Dragon Age II,2499,2015-10-17
1432,Prison Architect,1199,2015-10-06
482,Grand Ages: Medieval,699,2015-09-25
485,Cities Skylines: After Dark,2999,2015-09-24
576,Company of Heroes 2: The British Forces ,499,2015-09-03
1308,Planetary Annihilation: TITANS,2999,2015-08-18
285,Rocket League,4499,2015-07-07
1363,I am Bread,0,2015-04-09
1395,Pillars of Eternity,,2015-03-26
1376,Hotline Miami 2: Wrong Number,,2015-03-10
1419,Sid Meier's Civilization: Beyond Earth,2999,2014-10-23
1429,Ultimate General: Gettysburg,999,2014-10-16
1703,Planetary Annihilation,5999,2014-09-05
1330,Train Fever,1999,2014-09-04
1400,Divinity: Original Sin,,2014-06-30
1344,RollerCoaster Tycoon® 2: Triple Thrill Pack,,2014-05-21
1328,Age of Mythology: Extended Edition,1999,2014-05-08
1350,Wargame: Red Dragon,,2014-04-17
1076,Eets Munchies,999,2014-03-11
1324,TowerFall Ascension,,2014-03-11
1206,Banished,2999,2014-02-18
1399,Broken Age,,2014-01-28
1354,Nidhogg,,2014-01-13
1306,Dungeonland,1299,2013-11-12
1158,Sid Meier’s Ace Patrol: Pacific Skies,2999,2013-11-05
1333,Farming Simulator 2013 Titanium Edition,999,2013-10-09
1307,Castle Story,999,2013-09-23
1404,Godus,,2013-09-13
1414,Total War: ROME II - Emperor Edition,0,2013-09-02
1361,Game Dev Tycoon,0,2013-08-29
1153,Sid Meier’s Ace Patrol,999,2013-08-27
1117,The Bureau: XCOM Declassified,999,2013-08-22
1405,War Thunder,,2013-08-15
1392,Europa Universalis IV,,2013-08-13
1188,Hammerwatch,999,2013-08-12
1370,Guacamelee! Gold Edition,,2013-08-08
1416,"Papers, Please",,2013-08-08
1373,Spelunky,,2013-08-08
1360,Toki Tori 2+,0,2013-07-11
1418,Joe Danger 2: The Movie,299,2013-06-24
1116,Trine 2: Complete Story,1499,2013-06-06
1375,The Swapper,,2013-05-30
1314,Wargame: Airland Battle,3999,2013-05-29
1319,Dust: An Elysian Tail,399,2013-05-24
1301,Reus,,2013-05-16
1209,Sanctum 2,2999,2013-05-15
1137,FEZ,1499,2013-05-01
1312,Leviathan: Warships,1499,2013-04-30
1408,Monaco: What's Yours Is Mine,,2013-04-24
1374,Surgeon Simulator 2013,,2013-04-19
1381,Papo & Yo,,2013-04-18
1329,Anna - Extended Edition,1499,2013-04-12
1356,Age of Empires II HD,0,2013-04-09
1342,Cities in Motion 2,,2013-04-02
1621,StarCraft II: Heart of the Swarm,,2013-03-12
1235,The Showdown Effect,1499,2013-03-05
1133,Brutal Legend,1999,2013-02-26
1421,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,0,2013-02-26
1348,War of the Roses,,2013-02-06
1365,Cities XL Platinum,,2013-02-06
1369,Antichamber,,2013-01-31
1313,Proteus,2499,2013-01-30
1339,Strike Suit Zero,,2013-01-23
1325,Little Inferno,,2012-11-19
1335,Thomas Was Alone,,2012-11-12
1352,Sine Mora,,2012-11-09
1393,Natural Selection 2,,2012-10-30
1303,Hotline Miami,999,2012-10-23
1436,Giana Sisters: Twisted Dreams,1899,2012-10-22
1437,Chivalry: Medieval Warfare,499,2012-10-16
1080,Mark of the Ninja,1999,2012-10-16
1126,Rocketbirds: Hardboiled Chicken,1499,2012-10-15
1394,XCOM: Enemy Unknown,,2012-10-08
1379,Cortex Command,0,2012-09-28
1302,Torchlight II,1999,2012-09-20
1124,FTL: Faster Than Light,1999,2012-09-14
1417,Intrusion 2,0,2012-09-11
1334,To the Moon,1999,2012-09-07
1426,DARK SOULS: Prepare To Die Edition,299,2012-08-23
1425,Darksiders II,1999,2012-08-13
1362,English Country Tune,0,2012-08-09
1081,A Virus Named TOM,1999,2012-08-01
1304,Awesomenauts,1299,2012-08-01
1321,Orcs Must Die! 2,999,2012-07-30
1383,Endless Space® - Emperor Edition,,2012-07-04
1112,Spec Ops: The Line,999,2012-06-28
1326,Tiny and Big: Grandpa's Leftovers,1499,2012-06-19
470,Diablo III,,2012-05-15
1406,Warlock - Master of the Arcane,,2012-05-08
1391,Port Royale 3,,2012-05-04
1413,Lone Survivor: The Director's Cut,,2012-04-23
1390,Superbrothers: Sword & Sworcery EP,,2012-04-16
1320,Wizorb,399,2012-03-14
1424,Vessel,999,2012-03-01
1371,Wargame: European Escalation,,2012-02-22
1315,Dear Esther,999,2012-02-14
1438,Crusader Kings II,,2012-02-14
1086,The Darkness II,499,2012-02-09
1410,Jagged Alliance - Back in Action,,2012-02-08
1355,Oil Rush,,2012-01-25
1387,Dustforce DX,,2012-01-17
1433,Age of Empires® III: Complete Collection,1999,2012-01-05
1183,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,999,2011-11-23
1336,Serious Sam 3: BFE,999,2011-11-22
1353,Cave Story+,,2011-11-22
1427,SkyDrift,999,2011-11-21
1337,Anno 2070,,2011-11-17
1386,Rochard,,2011-11-15
1343,The Elder Scrolls V: Skyrim,,2011-11-10
1358,Orcs Must Die!,0,2011-10-11
1316,The Binding of Isaac,499,2011-09-28
1401,Tropico 4: Steam Special Edition,,2011-09-01
1351,Blocks That Matter,,2011-08-19
1106,Bastion,1999,2011-08-16
1181,Space Pirates and Zombies,999,2011-08-15
1113,LIMBO,499,2011-08-02
1435,Jamestown,999,2011-06-08
1323,Capsized,999,2011-04-29
1185,Sanctum,999,2011-04-15
1309,HOARD,3999,2011-04-04
719,Open Transport Tycoon Deluxe,2499,2011-04-01
1125,Mafia II,1999,2011-03-22
1305,Revenge of the Titans,1499,2011-03-16
1310,Total War: SHOGUN 2,999,2011-03-15
1407,NightSky,,2011-03-01
1366,BIT.TRIP RUNNER,,2011-02-28
1327,"Warhammer 40,000: Dawn of War II: Retribution",,2011-02-28
1412,Magicka,,2011-01-25
1402,Super Meat Boy,,2010-11-30
1431,Shank,2999,2010-10-25
1415,Lugaru HD,,2010-10-08
1131,Sid Meier's Civilization V,1199,2010-09-23
1423,Amnesia: The Dark Descent,2999,2010-09-08
1345,VVVVVV,,2010-09-07
1618,StarCraft II: Wings of Liberty,,2010-07-27
1359,SimCity 4 Deluxe Edition,0,2010-07-20
1398,Shatter,,2010-03-15
1332,"Warhammer® 40,000: Dawn of War® II Chaos Rising",199,2010-03-10
1120,BioShock 2,1499,2010-02-09
1411,Mass Effect 2,,2010-01-26
1384,Samorost2,,2009-12-10
1396,Gratuitous Space Battles,,2009-11-16
1083,Left 4 Dead 2,499,2009-11-16
1364,Command & Conquer 3: Tiberium Wars,,2009-11-13
1367,Command & Conquer 3: Kane's Wrath,,2009-11-13
1317,Dragon Age: Origins,4999,2009-11-05
1341,Hammerfight,499,2009-10-28
1311,Torchlight,999,2009-10-27
1420,Tropico 3 - Steam Special Edition,99,2009-10-20
1378,Machinarium,,2009-10-16
1439,Osmos,,2009-08-18
1349,Port Royale 2,,2009-06-16
1385,Crayon Physics Deluxe,,2009-05-06
1409,Cogs,,2009-04-14
1347,Braid,,2009-04-10
1318,Company of Heroes: Tales of Valor,1299,2009-04-09
1382,And Yet It Moves,,2009-04-02
1346,Penumbra Overture,,2009-03-06
1377,Empire: Total War,,2009-03-03
1380,"Warhammer 40,000: Dawn of War II",999,2009-02-18
1357,Europa Universalis III Complete,0,2009-02-04
1322,Command & Conquer: Red Alert 3,999,2009-01-08
1403,Aquaria,,2008-12-15
1434,World of Goo,499,2008-10-13
1173,Sid Meier's Civilization IV: Colonization,199,2008-09-23
1102,X-COM: UFO Defense,2999,2008-09-04
1090,X-COM: Interceptor,1999,2008-09-04
1105,X-COM: Enforcer,999,2008-09-04
1132,X-COM: Apocalypse,3999,2008-09-04
1340,RollerCoaster Tycoon® 3: Platinum,1499,2008-03-12
1368,"Warhammer® 40,000: Dawn of War® - Soulstorm",,2008-03-05
1119,Portal,5999,2007-10-10
1121,Half-Life 2: Episode Two,1499,2007-10-10
1338,Company of Heroes: Opposing Fronts,,2007-09-27
1136,BioShock,1499,2007-08-21
1428,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",1199,2007-08-07
1430,"Warhammer® 40,000: Dawn of War® - Dark Crusade",,2007-08-07
1331,"Warhammer® 40,000: Dawn Of War® – Winter Assault",0,2007-08-07
1151,Civilization IV: Beyond the Sword,3499,2007-07-24
1388,Gish,4999,2007-07-20
1422,Company of Heroes,799,2007-07-17
1130,X-COM: Terror From the Deep,499,2007-05-04
1175,Sid Meier's Railroads!,999,2007-05-04
1165,Civilization IV: Warlords,1499,2007-04-06
1170,Garry's Mod,0,2006-11-29
1150,Sid Meier's Civilization III Complete,1499,2006-10-25
1149,Sid Meier's Civilization IV,1999,2006-10-25
1372,Psychonauts,,2006-10-11
1111,Half-Life 2: Episode One,999,2006-06-01
1103,Half-Life 2: Lost Coast,1999,2005-10-27
1397,Sid Meier's Pirates!,,2005-07-11
1128,Half-Life 2,699,2004-11-16
974,Diablo II,0,2000-06-29
