id,description,num_games
33,Accounting,1
1,Action,80
8,Adventure,37
21,Animation & Modeling,1
13,Audio Production,1
9,Casual,24
17,Design & Illustration,1
4,Early Access,2
16,Education,1
31,Fighting,1
5,Free to Play,3
32,Hidden Objects,1
28,Horror,1
2,Indie,99
6,Massively Multiplayer,2
30,Music,1
19,Photo Editing,1
25,Platformer,2
24,Puzzle,1
7,RPG,25
11,Racing,3
29,Sandbox,1
27,Shooter,2
10,Simulation,35
20,Software Training,1
12,Sports,3
3,Strategy,94
26,Survival,1
14,Utilities,1
15,Video Production,1
18,Web Publishing,1
