id,description,num_games
33,Accounting,1
1,Action,15
8,Adventure,14
21,Animation & Modeling,1
13,Audio Production,1
9,Casual,2
17,Design & Illustration,1
4,Early Access,1
16,Education,1
31,Fighting,1
5,Free to Play,1
32,Hidden Objects,1
28,Horror,1
2,Indie,21
6,Massively Multiplayer,5
30,Music,1
19,Photo Editing,1
25,Platformer,2
24,Puzzle,1
7,RPG,13
11,Racing,1
29,Sandbox,1
27,Shooter,1
10,Simulation,5
20,Software Training,1
12,Sports,1
3,Strategy,17
26,Survival,1
14,Utilities,1
15,Video Production,1
18,Web Publishing,1
